Gene Symbol,Residual.Variation.Intolerance.Score,Residual.Variation.Intolerance.Score.Percentile
C1orf177,1.7987087630119,96.9155461193678
C1orf182,0.635788961676987,83.6341118188252
C1orf185,0.567831481849826,81.7822599669733
C1orf186,0.2591737101265,70.0577966501533
C1orf187,1.21993751086764,93.1941495635763
C1orf189,-0.119252484052258,44.5388063222458
C1orf192,0.413500896465616,76.6749233309743
C1orf194,0.992186920143104,90.5166312809625
C1orf198,0.194852701846611,67.032318943147
C1orf201,0.418953042462951,77.0641660769049
C1orf21,-0.0310671880788603,51.0379806558151
C1orf210,0.547599505462847,81.2160887001651
C1orf212,0.145304856741695,63.8122198631753
C1orf216,0.505321955950706,80.0070771408351
C1orf226,-0.185391281642191,39.6791696154753
C1orf227,0.169169615482522,65.3338051427223
C1orf228,0.591694063015805,82.4545883463081
C1orf27,0.641238259884967,83.9761736258552
C1orf31,0.369407108798126,74.9528190610993
C1orf35,0.8139859271306,87.8155225288983
C1orf43,0.058937497744424,58.2625619249823
C1orf50,0.569646742967092,81.8884170794999
C1orf51,-0.249709318589582,35.7454588346308
C1orf52,-0.141298761971039,42.8756782259967
C1orf53,0.191216163894121,66.5723047888653
C1orf54,0.191216163894121,66.5723047888653
C1orf56,0.327131069235345,73.2719981127624
C1orf61,-0.0751598783889831,47.7883934890304
C1orf63,0.905808022266731,89.4373673036093
C1orf64,0.193034295692284,66.8200047180939
C1orf65,-0.134019284192217,43.9077612644492
C1orf68,1.05833371085987,91.4248643548007
C1orf74,-0.0953862162090365,46.485020051899
C1orf85,0.0203027730121405,55.6086341118188
C1orf86,0.371224249137463,75.1238499646143
C1orf87,1.73255241441305,96.5970747817882
C1orf88,0.303266899742394,72.0099079971691
C1orf94,1.08946498581939,91.8730832743572
C1orf95,0.0130256087334302,54.6296296296296
C1QA,-0.139478552603161,43.2944090587403
C1QB,-0.0494742139358113,50.0117952347252
C1QBP,-0.0292476111805028,51.4036329322954
C1QC,-0.582225230800034,18.4418494928049
C1QTNF1,-0.358119786745166,29.1637178579854
C1QTNF2,-0.536310939527276,20.5355036565228
C1QTNF3,-0.0733400306563215,48.1186600613352
C1QTNF6,1.06377872206442,91.5841000235905
C1QTNF7,-0.55835743665548,19.5447039396084
C1QTNF9,0.240763791958702,69.3677754187308
